site,quadrat,grass.height1,grass.height2,grass.height3,grass.height4,mean.grass.height
M24,10,8,3,6,7,6
M24,11,7,6,6,6,6.25
M24,12,3,7,6,3,4.75
M24,13,7,5,2,3,4.25
M24,14,4,8,5,6,5.75
M24,15,4,4,5,4,4.25
M25,1,12,14,6,7,9.75
M25,2,10,7,10,9,9
M25,3,5,9,7,8,7.25
M25,4,6,7,9,5,6.75
M25,5,7,8,5,11,7.75
M25,6,6,5,8,6,6.25
M25,7,6,8,10,7,7.75
M25,8,5,9,3,8,6.25
M25,9,6,2,8,7,5.75
M25,10,8,11,13,11,10.75
M25,11,6,10,9,9,8.5
M25,12,5,5,8,10,7
M25,13,5,5,8,10,7
M25,14,5,11,6,5,6.75
M25,15,8,8,7,8,7.75
M26,1,2,4,3,4,3.25
M26,2,2,5,4,3,3.5
M26,3,3,7,3,3,4
M26,4,4,4,5,7,5
M26,5,5,5,4,5,4.75
M26,6,4,3,3,4,3.5
M26,7,4,1,2,3,2.5
M26,8,2,2,2,1,1.75
M26,9,4,3,4,5,4
M26,10,3,4,3,4,3.5
M26,11,7,4,3,4,4.5
M26,12,3,4,2,2,2.75
M26,13,2,4,3,2,2.75
M26,14,7,4,3,6,5
M26,15,5,3,3,2,3.25
M27,1,4,3,3,4,3.5
M27,2,3,3,4,5,3.75
M27,3,2,2,4,2,2.5
M27,4,3,3,7,5,4.5
M27,5,3,3,4,4,3.5
M27,6,4,3,3,4,3.5
M27,7,3,3,5,3,3.5
M27,8,3,5,2,4,3.5
M27,9,3,3,3,5,3.5
M27,10,4,3,4,4,3.75
M27,11,6,5,3,4,4.5
M27,12,2,3,4,6,3.75
M27,13,5,6,3,5,4.75
M27,14,5,4,3,4,4
M27,15,3,3,3,2,2.75
M28,1,5,5,9,8,6.75
M28,2,6,8,7,8,7.25
M28,3,4,6,6,6,5.5
M28,4,5,8,9,9,7.75
M28,5,5,3,7,3,4.5
M28,6,4,8,5,6,5.75
M28,7,7,8,8,5,7
M28,8,7,8,10,7,8
M28,9,5,6,6,7,6
M28,10,6,8,8,7,7.25
M28,11,9,7,4,7,6.75
M28,12,6,5,7,8,6.5
M28,13,6,7,4,8,6.25
M28,14,4,6,4,3,4.25
M28,15,5,5,3,2,3.75
M29,1,79,39,51,72,60.25
M29,2,66,71,74,73,71
M29,3,54,66,67,51,59.5
M29,4,49,50,63,57,54.75
M29,5,84,56,74,85,74.75
M29,6,46,40,42,25,38.25
M29,7,42,45,31,44,40.5
M29,8,82,89,81,71,80.75
M29,9,25,70,38,74,51.75
M29,10,87,90,88,83,87
M29,11,73,92,75,67,76.75
M29,12,50,59,70,75,63.5
M29,13,58,37,67,30,48
M29,14,70,75,65,50,65
M29,15,80,84,75,72,77.75
M30,1,2,2,4,3,2.75
M30,2,6,5,6,7,6
M30,3,6,6,8,7,6.75
M30,4,5,0,4,3,3
M30,5,5,0,2,0,1.75
M30,6,0,0,0,0,0
M30,7,3,2,5,5,3.75
M30,8,6,5,4,0,3.75
M30,9,4,7,3,5,4.75
M30,10,4,6,4,4,4.5
M30,11,3,5,7,4,4.75
M30,12,5,2,2,4,3.25
M30,13,4,3,1,5,3.25
M30,14,3,3,2,1,2.25
M30,15,5,3,3,5,4
M31,1,32,23,40,35,32.5
M31,2,98,83,91,99,92.75
M31,3,63,66,67,28,56
M31,4,52,23,76,64,53.75
M31,5,60,65,61,63,62.25
M31,6,51,50,71,54,56.5
M31,7,29,30,30,29,29.5
M31,8,23,22,30,12,21.75
M31,9,27,34,31,38,32.5
M31,10,18,34,39,26,29.25
M31,11,37,31,29,42,34.75
M31,12,30,48,28,31,34.25
M31,13,38,50,37,48,43.25
M31,14,72,83,79,38,68
M31,15,56,54,59,67,59
M32,1,8,5,8,10,7.75
M32,2,8,5,8,10,7.75
M32,3,4,9,11,5,7.25
M32,4,6,7,10,10,8.25
M32,5,8,10,7,11,9
M32,6,4,5,8,5,5.5
M32,7,8,10,7,11,9
M32,8,25,8,8,14,13.75
M32,9,6,7,5,12,7.5
M32,10,9,8,13,10,10
M32,11,9,7,12,9,9.25
M32,12,13,17,6,11,11.75
M32,13,9,8,8,7,8
M32,14,6,5,10,7,7
M32,15,3,13,7,4,6.75
M33,1,10,7,9,11,9.25
M33,2,6,7,10,7,7.5
M33,3,6,8,4,8,6.5
M33,4,8,9,6,7,7.5
M33,5,9,5,7,9,7.5
M33,6,10,10,8,7,8.75
M33,7,6,6,6,5,5.75
M33,8,9,7,5,8,7.25
M33,9,7,7,6,5,6.25
M33,10,9,8,9,10,9
M33,11,9,9,7,6,7.75
M33,12,9,9,8,9,8.75
M33,13,8,8,6,9,7.75
M33,14,3,5,4,7,4.75
M33,15,5,7,5,9,6.5
M34,1,5,21,8,4,9.5
M34,2,20,11,13,9,13.25
M34,3,21,12,11,11,13.75
M34,4,11,12,10,6,9.75
M34,5,7,9,23,11,12.5
M34,6,16,7,9,7,9.75
M34,7,14,10,9,13,11.5
M34,8,10,7,7,9,8.25
M34,9,11,10,8,8,9.25
M34,10,14,10,9,12,11.25
M34,11,11,10,6,15,10.5
M34,12,14,12,8,13,11.75
M34,13,12,15,19,15,15.25
M34,14,14,8,9,11,10.5
M34,15,5,6,7,6,6
M35,1,6,8,25,22,15.25
M35,2,16,11,20,15,15.5
M35,3,9,15,13,21,14.5
M35,4,7,28,18,16,17.25
M35,5,12,10,28,17,16.75
M35,6,20,10,9,14,13.25
M35,7,17,25,12,18,18
M35,8,32,19,24,11,21.5
M35,9,11,10,17,11,12.25
M35,10,24,8,11,16,14.75
M35,11,9,10,10,25,13.5
M35,12,13,12,19,20,16
M35,13,12,9,21,13,13.75
M35,14,15,22,13,12,15.5
M35,15,7,7,6,5,6.25
M36,1,6,8,5,6,6.25
M36,2,5,6,5,3,4.75
M36,3,7,9,6,6,7
M36,4,9,10,8,8,8.75
M36,5,6,3,15,9,8.25
M36,6,10,7,9,9,8.75
M36,7,10,7,7,7,7.75
M36,8,6,11,3,3,5.75
M36,9,11,12,10,12,11.25
M36,10,4,3,7,8,5.5
M36,11,4,3,4,3,3.5
M36,12,10,8,7,8,8.25
M36,13,6,5,6,8,6.25
M36,14,3,5,5,10,5.75
M36,15,6,6,10,9,7.75
M37,1,11,8,9,8,9
M37,2,7,8,7,10,8
M37,3,10,13,5,9,9.25
M37,4,8,6,6,10,7.5
M37,5,12,10,11,5,9.5
M37,6,6,6,8,7,6.75
M37,7,14,7,7,10,9.5
M37,8,8,17,13,6,11
M37,9,13,7,13,11,11
M37,10,12,15,12,8,11.75
M37,11,11,5,9,9,8.5
M37,12,11,8,6,8,8.25
M37,13,10,8,10,10,9.5
M37,14,11,12,11,15,12.25
M37,15,13,15,11,5,11
M38,1,5,4,4,5,4.5
M38,2,2,3,3,3,2.75
M38,3,4,4,3,4,3.75
M38,4,3,4,5,5,4.25
M38,5,3,3,4,3,3.25
M38,6,4,4,4,4,4
M38,7,4,4,4,4,4
M38,8,4,3,3,4,3.5
M38,9,3,3,3,4,3.25
M38,10,4,3,3,3,3.25
M38,11,3,4,4,3,3.5
M38,12,5,4,3,5,4.25
M38,13,4,3,4,4,3.75
M38,14,5,4,4,4,4.25
M38,15,4,3,4,3,3.5
M39,1,7,6,4,8,6.25
M39,2,3,13,4,11,7.75
M39,3,6,4,7,8,6.25
M39,4,7,8,9,8,8
M39,5,10,9,14,7,10
M39,6,5,4,8,9,6.5
M39,7,10,11,5,10,9
M39,8,10,7,7,7,7.75
M39,9,10,3,9,11,8.25
M39,10,8,6,7,7,7
M39,11,9,8,5,6,7
M39,12,10,9,3,12,8.5
M39,13,15,11,5,7,9.5
M39,14,15,11,5,7,9.5
M39,15,15,10,9,11,11.25
M40,1,17,16,21,17,17.75
M40,2,50,63,70,51,58.5
M40,3,71,56,42,67,59
M40,4,38,47,53,44,45.5
M40,5,49,39,32,88,52
M40,6,53,70,77,80,70
M40,7,30,45,38,37,37.5
M40,8,27,57,59,30,43.25
M40,9,35,38,44,40,39.25
M40,10,64,59,58,50,57.75
M40,11,50,40,48,32,42.5
M40,12,56,68,71,54,62.25
M40,13,72,49,68,51,60
M40,14,78,89,76,77,80
M40,15,90,81,75,72,79.5
