site,sample,samplecat,urban,city,daterun,alaphe,gluphe,ala,val,leu,gly,nle,pro,asp,glu,phe
M34,9,c,14,manchester,12/03/2024,2.70584507,2.061438356,7.949,-1.0755,5.82,3.89,16.8145,8.401,7.885,4.586,3.1375
M34,10,c,14,manchester,12/03/2024,2.653309859,2.051575342,9.101,-1.851,4.484,4.0155,15.35,10.0045,8.833,6.039,4.6625
M34,11,c,14,manchester,12/03/2024,3.001267606,2.487534247,8.139,-0.976,5.719,4.039,16.2305,9.176,7.307,5.789,1.23
M34,2,c,14,manchester,18/06/2024,2.98471831,2.264246575,10.6915,-12.5405,3.5615,2.453,15.6775,9.314,10.492,6.829,3.9
M35,2,c,13,manchester,16/01/2024,2.864929577,2.25630137,10.069,-8.809,3.826,3.29,18.02,8.414,13.086,6.999,4.128
M35,3,c,13,manchester,16/01/2024,3.122323944,2.166917808,12.8645,-6.3095,5.6355,4.1525,18.4005,7.2625,14.1155,7.3145,5.096
M35,4,c,13,manchester,17/01/2024,2.607464789,2.264726027,9.842,13.837,3.731,6.716,24.2355,9.8055,13.854,8.6615,5.729
M35,5,c,13,manchester,17/01/2024,2.579084507,1.943219178,10.2845,13.58,4.9035,4.6265,21.278,7.7495,13.266,6.9585,6.373
M35,6,c,13,manchester,17/01/2024,2.805140845,2.115890411,11.2835,-7.196,5.076,5.469,20.4015,7.494,14.024,7.613,5.767
M36,1,b,6,manchester,26/09/2023,3.116267606,2.169383562,11.575,2.3235,4.7445,3.9965,19.647,7.5965,12.8685,6.086,3.8495
M36,2,b,6,manchester,26/09/2023,3.021056338,2.158493151,9.785,6.9995,3.6705,2.8375,17.648,7.277,9.889,4.8925,2.7355
M36,3,b,6,manchester,26/09/2023,2.643028169,1.860547945,9.6985,-1.0555,3.6395,2.4495,17.6215,7.8885,10.417,5.315,5.333
M36,4,b,6,manchester,26/09/2023,2.860422535,2.234589041,9.1545,-1.1145,3.8975,3.1345,18.496,8.5345,9.9785,5.958,3.2455
M37,1,c,2,manchester,17/01/2024,3.306478873,2.039315068,11.954,-9.3565,4.021,3.8315,17.0525,6.9555,10.327,4.165,2.878
M37,2,c,2,manchester,17/01/2024,3.338873239,2.549178082,9.725,-8.546,2,2.329,17.685,9.101,8.7405,5.428,0.419
M37,3,c,2,manchester,18/04/2024,2.652394366,2.124931507,10.4005,-6.5915,6.9025,3.301,16.315,15.1825,11.52,7.8805,5.9685
M37,4,c,2,manchester,18/04/2024,2.761830986,2.371438356,9.444,14.718,8.779,4.6165,17.54,13.1805,10.35,7.9465,4.235
M37,5,c,2,manchester,18/04/2024,2.652323944,2.080821918,13.6755,-8.676,11.3605,7.6505,18.3235,17.1625,14.074,10.834,9.244
